file, jumlah, tak_terdeteksi, false_positive, benar_deteksi, jumlah_terdeteksi, persentase_terdeteksi, persentase_false_positive, akurasi
00451.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00452.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00453.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00454.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00458.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00460.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00463.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
00476.jpg, 1, 1, 2, 0, 2, 0.0, 100.0, None
00477.jpg, 1, 0, 2, 1, 3, 100.0, 66.66666666666666, 100.0
00478.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
00479.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00492.jpg, 2, 0, 1, 2, 3, 100.0, 33.33333333333333, 100.0
00493.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00497.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00498.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00503.jpg, 3, 3, 0, 0, 0, 0.0, None, None
00504.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
00507.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00508.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00509.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00510.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00512.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00520.jpg, 1, 1, 2, 0, 2, 0.0, 100.0, None
00538.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
00539.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
00540.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
00541.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
00549.jpg, 2, 1, 1, 1, 2, 50.0, 50.0, 100.0
00556.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00568.jpg, 1, 1, 2, 0, 2, 0.0, 100.0, None
00570.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00572.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00573.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00574.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
00575.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00576.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00581.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00582.jpg, 4, 2, 0, 2, 2, 50.0, 0.0, 100.0
00583.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00585.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
00599.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
00601.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
00607.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
00609.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00619.jpg, 1, 1, 3, 0, 3, 0.0, 100.0, None
00620.jpg, 2, 1, 2, 1, 3, 50.0, 66.66666666666666, 100.0
00621.jpg, 2, 1, 2, 1, 3, 50.0, 66.66666666666666, 100.0
00622.jpg, 2, 1, 2, 1, 3, 50.0, 66.66666666666666, 100.0
00623.jpg, 2, 1, 2, 1, 3, 50.0, 66.66666666666666, 100.0
00624.jpg, 2, 1, 0, 0, 1, 50.0, 0.0, 0.0
00625.jpg, 2, 1, 1, 1, 2, 50.0, 50.0, 100.0
00632.jpg, 1, 0, 2, 1, 3, 100.0, 66.66666666666666, 100.0
00633.jpg, 1, 0, 2, 1, 3, 100.0, 66.66666666666666, 100.0
00634.jpg, 1, 0, 2, 1, 3, 100.0, 66.66666666666666, 100.0
00638.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00644.jpg, 3, 3, 0, 0, 0, 0.0, None, None
00647.jpg, 1, 1, 4, 0, 4, 0.0, 100.0, None
00662.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00676.jpg, 1, 0, 2, 1, 3, 100.0, 66.66666666666666, 100.0
00692.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00695.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
00704.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
00706.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00719.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00746.jpg, 3, 0, 0, 3, 3, 100.0, 0.0, 100.0
00751.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00753.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00755.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
00756.jpg, 1, 0, 1, 1, 2, 100.0, 50.0, 100.0
00767.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00768.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00769.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00781.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00789.jpg, 2, 0, 0, 2, 2, 100.0, 0.0, 100.0
00792.jpg, 2, 0, 0, 1, 2, 100.0, 0.0, 50.0
00797.jpg, 3, 1, 0, 2, 2, 66.66666666666666, 0.0, 100.0
00798.jpg, 1, 1, 3, 0, 3, 0.0, 100.0, None
00800.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00809.jpg, 3, 2, 0, 1, 1, 33.33333333333333, 0.0, 100.0
00812.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00815.jpg, 2, 1, 0, 1, 1, 50.0, 0.0, 100.0
00824.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00825.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00844.jpg, 3, 1, 0, 2, 2, 66.66666666666666, 0.0, 100.0
00854.jpg, 4, 3, 0, 1, 1, 25.0, 0.0, 100.0
00856.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00866.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00868.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00871.jpg, 2, 2, 0, 0, 0, 0.0, None, None
00875.jpg, 1, 1, 1, 0, 1, 0.0, 100.0, None
00876.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00880.jpg, 2, 2, 0, 0, 0, 0.0, None, None
00881.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00884.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00885.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00887.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00889.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00890.jpg, 2, 2, 0, 0, 0, 0.0, None, None
00891.jpg, 2, 2, 0, 0, 0, 0.0, None, None
00894.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00898.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00902.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00913.jpg, 2, 2, 0, 0, 0, 0.0, None, None
00914.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00920.jpg, 1, 0, 0, 1, 1, 100.0, 0.0, 100.0
00921.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00925.jpg, 2, 0, 1, 2, 3, 100.0, 33.33333333333333, 100.0
00927.jpg, 1, 1, 0, 0, 0, 0.0, None, None
00935.jpg, 1, 1, 0, 0, 0, 0.0, None, None
